STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,FREQ,,MEASURE,,UNIT_MEASURE,,TRANSPORT_MODE,,VEHICLE_TYPE,,INFRASTRUCTURE_TYPE,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,UNIT_MULT,,DECIMALS,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1970,,3798,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1971,,3590,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1972,,3422,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1973,,3679,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1974,,3572,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1975,,3694,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1976,,3583,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1977,,3578,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1978,,3705,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1979,,3508,,A,,0,,1,
