project,Address,direct,limit,ban,Longitude,Latitude,Remark
A00,設置地點,拍攝方向,速限,取締項目,經緯度,經緯度,備註
A01,雲林縣斗六市大學路與中山路路口 ,西向東 ,60,超速、闖紅燈、違規迴轉、未依標誌標線行駛、未保持路口淨空,23.696799,120.537485,斗六分局
A02,雲林縣虎尾鎮文科路與廉使路路口 ,西向東,60,超速 、闖紅燈 、未禮讓行人,23.717049,120.423559,虎尾分局
A03,雲林縣斗六市大學路與鎮南路路口,東向西,60,超速 、闖紅燈 、未禮讓行人,23.697744,120.542336,斗六分局
A04,雲林縣斗六市明德路與公明路路口 ,東向西 ,50,超速 、闖紅燈 、未禮讓行人,23.699779,120.532237,斗六分局
A05,雲林縣斗南鎮延平路與光華路路口 ,北向南 ,60,超速 、闖紅燈 、未依標誌標線行駛 ,23.68612,120.480538,斗南分局 
A06,雲林縣斗南鎮延平路與大業路路口,南向北 ,60,超速 、闖紅燈 、未依標誌標線行駛 ,23.69333,120.479968,斗南分局 
A07,雲林縣斗南鎮延平路與大同路路口 ,南向北,50,超速 、闖紅燈 、未禮讓行人,23.676557,120.476283,斗南分局 
A08,雲林縣土庫鎮建國路與林森路路口 ,南向北,50,超速 、闖紅燈 、未依標誌標線行駛 ,23.679156,120.394999,虎尾分局
A09,雲林縣虎尾鎮文科路與光復路路口,西向東 ,60,超速 、闖紅燈 、未禮讓行人,23.709592,120.44583,虎尾分局
A10,雲林縣西螺鎮大同路與興農東(西)路口,東西雙向 ,50,超速 、闖紅燈 、未禮讓行人,23.795057,120.46766,西螺分局
A11,雲林縣麥寮鄉台17線公路與工業路口,西向東 ,70,超速 、闖紅燈 、未依標誌標線行駛 ,23.789198,120.270376,臺西分局 
A12,雲林縣虎尾鎮林森路一段與公安路口,南北雙向,50,闖紅燈 、未禮讓行人,23.70914,120.433403,虎尾分局 
A13,雲林縣斗六市民生路與大同路 (斗六市火車站),東西雙向,50,闖紅燈 、未禮讓行人(2組),23.711302,120.54136,斗六分局
A14,雲林縣西螺鎮中山路與公正路 (西螺轉運站),東西雙向 ,50,闖紅燈 、未禮讓行人(2組),23.80006,120.461888,西螺分局 
A15,雲林縣古坑鄉(臺 3 線)光興路與永興路 ,南北雙向 ,50,超速 、闖紅燈 、未禮讓行人,23.624138,120.549875,斗南分局
A16,雲林縣元長鄉縣道 145線與雲 172 線路口(客厝國小旁),南北雙向 ,50,超速 、闖紅燈 、未禮讓行人,23.628597,120.335309,虎尾分局
A17,雲林縣北港鎮僑美國小(臺19 線華勝路) ,南北雙向,50,超速 、闖紅燈 、未禮讓行人,23.592914,120.302094,北港分局
A18,雲林縣斗六市鎮北路與明德北路 ,東西雙向,60,超速 、闖紅燈 、未禮讓行人,23.718184,120.542627,斗六分局
A19,雲林縣北港鎮台19線與民生路口 (北港國中旁) ,東西雙向,50,闖紅燈 、未禮讓行人(2組),23.565712,120.298559,北港分局 
A20,雲林縣虎尾鎮工專路與四維街口,南北雙向,50,闖紅燈 、未禮讓行人(2組),23.703184,120.424902,虎尾分局 
A21,雲林縣莿桐鄉臺1丁線中正路與農校路口(莿桐國中旁) ,北向南 ,60,超速 、闖紅燈 、未禮讓行人,23.750085,120.508916,斗六分局 
A22,雲林縣斗六市西平路與正心路口 ,北向南 ,50,超速 、闖紅燈 、未禮讓行人,23.715603,120.530391,斗六分局 
