設備編號,縣市,行政區,科技執法種類,"取締項目(以""、""分隔)",設置地點(路口或路段),座標緯度,座標經度,拍攝方向,速限,轄區分局,備註
1,基隆市,仁愛區,路口多功能執法,禁行車種,基隆東岸高架橋,25.1308105,121.7430319,北往南,-,交通隊,
2,基隆市,仁愛區,路口多功能執法,禁行車種,基隆東岸高架橋,25.1308105,121.7430319,南往北,-,交通隊,
3,基隆市,仁愛區,路口多功能執法,違規停車,仁五路(愛一至愛二),25.1276602,121.7403949,西往東,-,交通隊,
4,基隆市,仁愛區,路口多功能執法,違規停車,仁五路(愛一至愛二),25.1275752,121.74059,西往東,-,交通隊,
5,基隆市,仁愛區,路口多功能執法,違規停車,仁五路(愛一至愛二),25.1275752,121.74059,西往東,-,交通隊,
6,基隆市,暖暖區,路口多功能執法,違規迴轉,八堵路127巷口(往市區方向),25.108156,121.7289569,南往北,-,第三分局,
7,基隆市,暖暖區,路口多功能執法,機車行駛行穿道,八堵火車站前,25.1082635,121.7291361,北往南,-,第三分局,
8,基隆市,暖暖區,路口多功能執法,違規迴轉,八堵路127巷口(往七堵方向),25.108156,121.7289569,北往南,-,第三分局,
9,基隆市,暖暖區,路口多功能執法,闖紅燈,八堵路127巷口(往七堵方向),25.108156,121.7289569,北往南,-,第三分局,
10,基隆市,中正區,路口多功能執法,跨越雙白線,信一路/中正路,25.1309015,121.7440925,東往西,-,第二分局,
11,基隆市,中正區,路口多功能執法,跨越雙白線,信一路/中正路,25.1310006,121.743918,東往西,-,第二分局,
12,基隆市,中正區,路口多功能執法,違規迴轉,中正路、信一路口(喜豬橋上),25.1316352,121.7435393,北往南,-,第二分局,
13,基隆市,中正區,路口多功能執法,跨越雙白線,中正路、信一路口(喜豬橋上),25.1316352,121.7435393,北往南,-,第二分局,
14,基隆市,中正區,路口多功能執法,跨越雙白線,基隆市中正路1號（基隆港東岸旅運中心前),25.1319483,121.7437523,北往南,-,第二分局,
15,基隆市,中正區,路口多功能執法,未依標誌標線號誌指示,基隆市中正路1號（基隆港東岸旅運中心前),25.1319483,121.7437523,北往南,-,第二分局,
16,基隆市,中正區,路口多功能執法,闖紅燈,中正路、義一路口(往郊區方向),25.1366559,121.7481052,南往北,-,第二分局,
17,基隆市,中正區,路口多功能執法,未依標誌標線號誌指示,中正路、義一路口(往郊區方向),25.1366559,121.7481052,南往北,-,第二分局,
18,基隆市,中正區,路口多功能執法,未依標誌標線號誌指示,中正路、義一路口(往義一路方向),25.1372841,121.7485362,北往南,-,第二分局,
19,基隆市,中正區,路口多功能執法,闖紅燈,中正路、義一路口(往義一路方向),25.1372841,121.7485362,北往南,-,第二分局,
20,基隆市,暖暖區,路口多功能執法,右轉車未依規定駛出外車道,水源路、源遠路(台62下匝道處),25.1048379,121.7354153,東往西,-,第三分局,
21,基隆市,暖暖區,路口多功能執法,未依標誌標線號誌指示,水源路、源遠路(台62下匝道處),25.1048379,121.7354153,東往西,-,第三分局,
22,基隆市,暖暖區,路口多功能執法,未依標誌標線號誌指示,水源路、源遠路(源遠路西向),25.1046017,121.7354537,東往西,-,第三分局,
23,基隆市,暖暖區,路口多功能執法,闖紅燈,水源路、源遠路(源遠路西向),25.1046017,121.7354537,東往西,-,第三分局,
24,基隆市,暖暖區,路口多功能執法,未依標誌標線號誌指示,水源路、源遠路(源遠路東向),25.1049525,121.7344039,西往東,-,第三分局,
25,基隆市,暖暖區,路口多功能執法,未依標誌標線號誌指示,水源路、源遠路(源遠路東向),25.1049525,121.7344039,西往東,-,第三分局,
26,基隆市,仁愛區,路口多功能執法,違規迴轉,愛一路、仁二路口(明德橋頭),25.1304642,121.7416325,西往東,-,第一分局,
27,基隆市,仁愛區,路口多功能執法,機車行駛行穿道,愛一路、仁二路口(林開郡洋樓前),25.1301682,121.7421001,南往北,-,第一分局,
28,基隆市,仁愛區,路口多功能執法,違規迴轉,愛一路、仁二路口(林開郡洋樓前),25.1301682,121.7421001,南往北,-,第一分局,
29,基隆市,仁愛區,路口多功能執法,違規迴轉,愛一路、仁二路口(林開郡洋樓前),25.1301312,121.7424544,北往南,-,第一分局,
30,基隆市,仁愛區,路口多功能執法,未依標誌標線號誌指示,愛一路、仁二路口(林開郡洋樓前),25.130178,121.742203,南往北,-,第一分局,
31,基隆市,仁愛區,路口多功能執法,未停讓行人,愛三路、仁二路(愛三路/南向北),25.1297341,121.7435425,南向北,-,交通隊,
32,基隆市,仁愛區,路口多功能執法,未停讓行人,愛三路、仁一路(愛三路/南向東),25.130497,121.7439624,南向東,-,交通隊,
33,基隆市,仁愛區,路口多功能執法,未停讓行人,愛三路、仁一路(愛三路/南向東),25.130497,121.7439624,南向東,-,交通隊,
34,基隆市,仁愛區,路口多功能執法,未停讓行人,忠一路與孝四路(西側),25.1315702,121.7398652,北往西,-,第一分局,
35,基隆市,仁愛區,路口多功能執法,未依標誌標線號誌指示,忠一路與孝四路(忠一路/東向西),25.1314027,121.7401849,東往西,-,第一分局,
36,基隆市,仁愛區,路口多功能執法,違規迴轉,忠一路與孝四路(忠一路/東向西),25.1314027,121.7401849,東往西,-,第一分局,
37,基隆市,仁愛區,路口多功能執法,未依標誌標線號誌指示,仁一路與愛六路(仁一路/西往東),25.1285625,121.74746,西往東,-,第一分局,
38,基隆市,仁愛區,路口多功能執法,未停讓行人,仁一路與愛六路(南側),25.1286904,121.7477649,南北雙向,-,第一分局,
39,基隆市,仁愛區,路口多功能執法,未停讓行人,仁一路與愛六路(北側),25.1286904,121.7477649,南北雙向,-,第一分局,
40,基隆市,仁愛區,路口多功能執法,未停讓行人,仁一路與劉銘傳路口(東側),25.1281333,121.7508419,西往東,-,第一分局,
41,基隆市,仁愛區,路口多功能執法,未依標誌標線號誌指示,仁一路與劉銘傳路口(仁一路/西往東),25.1281333,121.7508419,西往東,-,第一分局,
42,基隆市,仁愛區,路口多功能執法,未停讓行人,仁一路與劉銘傳路口(南側),25.1281333,121.7508419,西往東,-,第一分局,
43,基隆市,信義區,路口多功能執法,未依標誌標線號誌指示,孝東路與深澳坑路(孝東路/西往東),25.1284153,121.7798181,北往西,-,第二分局,
44,基隆市,信義區,路口多功能執法,未停讓行人,深溪路與深澳坑路(西側),25.1285998,121.7801178,西往東,-,第二分局,
45,基隆市,暖暖區,路口多功能執法,禁行車種,東勢街與暖暖街(東勢街/西往東),25.0997356,121.7364979,北往南,-,第三分局,
46,基隆市,暖暖區,路口多功能執法,未停讓行人,東勢街與暖暖街口(南側),25.0997356,121.7364979,北往南,-,第三分局,
47,基隆市,暖暖區,路口多功能執法,未停讓行人、闖紅燈,東勢街與暖暖街口(東側),25.0998057,121.7362742,西往東,-,第三分局,
48,基隆市,七堵區,路口多功能執法,闖紅燈,光明路與自治街(光明路/南向北),25.0949204,121.7132168,南向北,-,第三分局,
49,基隆市,七堵區,路口多功能執法,未停讓行人,光明路與自治街口(南側),25.095271,121.713429,北往西,-,第三分局,
50,基隆市,七堵區,路口多功能執法,未停讓行人,光明路與自治街口(西側),25.0951859,121.7134918,西往南,-,第三分局,
51,基隆市,中正區,路口多功能執法,未依標誌標線號誌指示,義二路2巷與義二路(義二路2巷/東向西),25.1304436,121.7450374,北往南,-,第二分局,
52,基隆市,中正區,路口多功能執法,未停讓行人,信一路與義二路口(北側),25.1304894,121.7454553,東往北,-,第二分局,
53,基隆市,中正區,路口多功能執法,未停讓行人,信一路與義二路口(西側),25.1304242,121.7449077,南往西,-,第二分局,
54,基隆市,安樂區,路口多功能執法,未停讓行人,麥金路與安樂路二段(西側),25.1207879,121.721931,東往西,-,第四分局,
55,基隆市,安樂區,路口多功能執法,闖紅燈,麥金路與安樂路二段01(麥金路/東向西),25.1203222,121.7223283,南往北,-,第四分局,
56,基隆市,安樂區,路口多功能執法,違規迴轉,麥金路與安樂路二段02(麥金路/東向西),25.1203222,121.7223283,南往北,-,第四分局,
57,基隆市,中山區,路口多功能執法,未停讓行人,安一路、西定路口(西定路/北側),25.1316248,121.7355626,北往南,-,第四分局,
58,基隆市,中山區,路口多功能執法,未停讓行人,安一路與西定路口(西側),25.1316896,121.7352801,東往西,-,第四分局,
59,基隆市,中山區,路口多功能執法,未停讓行人,安一路與西定路口(南側),25.1315062,121.7354424,西往東,-,第四分局,
60,基隆市,安樂區,路口多功能執法,未停讓行人,武嶺街與基金一路口(南側),25.140517,121.7110308,南往北,-,第四分局,
61,基隆市,安樂區,路口多功能執法,未停讓行人,武嶺街與基金一路口(東側),25.1406283,121.7111019,東往西,-,第四分局,
62,基隆市,安樂區,路口多功能執法,未依標誌標線號誌指示,武嶺街與基金一路(基金一路/東向西),25.1405171,121.7115105,東往西,-,第四分局,
63,基隆市,安樂區,路口多功能執法,違規停車,基金一路208巷,25.1418534,121.7099461,-,-,第四分局,
64,基隆市,安樂區,路口多功能執法,未停讓行人,基金一路208巷,25.1419197,121.7098766,南往北,-,第四分局,
65,基隆市,安樂區,路口多功能執法,未停讓行人,基金一路208巷,25.1419197,121.7098766,西往東,-,第四分局,
66,基隆市,仁愛區,路口多功能執法,跨越雙白線,忠四路與孝二路口,25.1285739,121.7394368,北往南,-,第一分局,
67,基隆市,仁愛區,路口多功能執法,未依標誌標線號誌指示,忠四路與孝二路口,25.1281112,121.7391181,南往北,-,第一分局,
68,基隆市,暖暖區,路口多功能執法,禁行車種,暖暖區過港路與興隆街口(西往東),25.1033069,121.7411195,西往東,-,第三分局,
69,基隆市,暖暖區,路口多功能執法,禁行車種,暖暖區過港路與興隆街口(東向西),25.1033069,121.7411195,東往西,-,第三分局,
70,基隆市,暖暖區,路口多功能執法,禁行車種,暖暖區源遠路與暖江橋口(西往東),25.1027412,121.7402048,西往東,-,第三分局,
71,基隆市,暖暖區,路口多功能執法,闖紅燈,暖暖區源遠路與暖江橋口(西往東),25.1027412,121.7402048,西往東,-,第三分局,
72,基隆市,暖暖區,路口多功能執法,禁行車種,暖暖區源遠路與暖江橋口(東向西),25.1025221,121.7410774,東往西,-,第三分局,
