CityName(設置縣市),RegionName(設置市區鄉鎮),Address(設置地址),DeptNm(管轄警局),BranchNm(管轄分局),Longitude(經度),Latitude(緯度),direct(拍攝方向),limit(速限)
屏東縣,屏東市,屏東市逢甲路與復興路口,屏東縣政府縣警察局,屏東分局,120.489191,22.671134,單向,50
屏東縣,屏東市,屏東市復興北路與逢甲路口,屏東縣政府縣警察局,屏東分局,120.489191,22.671134,單向,50
屏東縣,屏東市,屏東市中正路與勝利路口,屏東縣政府縣警察局,屏東分局,120.490964,22.678519,單向,50
屏東縣,屏東市,屏東市建國路與和生路口,屏東縣政府縣警察局,屏東分局,120.466006,22.655346,單向,50
屏東縣,屏東市,屏東市民生路與瑞民路口,屏東縣政府縣警察局,屏東分局,120.506513,22.662657,單向,50
屏東縣,屏東市,屏東市中正路與自由路口,屏東縣政府縣警察局,屏東分局,120.49169,22.682931,單向,50
屏東縣,里港鄉,里港鄉台3線與鐵店路口,屏東縣政府縣警察局,里港分局,120.497438,22.777618,單向,50
屏東縣,新園鄉,新園鄉河堤一街,屏東縣政府縣警察局,東港分局,120.4609815877,22.4761341085,單向,50
屏東縣,潮州鎮,潮州鎮新生路與民治路口,屏東縣政府縣警察局,潮州分局,120.53745,22.546831,單向,50
屏東縣,內埔鄉,內埔鄉中正路、信東路與龍崗路口,屏東縣政府縣警察局,內埔分局,120.544981,22.630634,單向,50
屏東縣,佳冬鄉,台1線戰備道429.5-433K,屏東縣政府縣警察局,枋寮分局,120.563046,22.442275,南北雙向(區間測速),70
屏東縣,草埔鄉,台9線草埔隧道434.4-437.2K,屏東縣政府縣警察局,枋寮分局,120.805783,22.241492,東西雙向(區間測速),70
屏東縣,車城鄉,台26線尖山段8.5-13.7K,屏東縣政府縣警察局,恆春分局,120.702179,22.140097,南北雙向(區間測速),70
