設備編號,縣市,行政區,科技執法種類,取締項目,設置地點,座標緯度,座標經度,拍攝方向,速限,轄區分局,備註
1,彰化縣,彰化市,路口多功能執法,跨越雙白實線、未依標誌標線行駛,中華路與中正路2段路口(省道),24.07681,120.536633,南向北,50,彰化分局,
2,彰化縣,彰化市,路口多功能執法,闖紅燈、未依號誌行駛,新平路與環河街口(省道),24.065157,120.52143,北向南,60,彰化分局,
3,彰化縣,彰化市,路口多功能執法,超速、闖紅燈,金馬路2段與彰新路1段路口,24.092823,120.538186,北向南,70,彰化分局,
4,彰化縣,彰化市,路口多功能執法,超速、闖紅燈,彰興路1段與聖安路口,24.092713,120.585764,南向北,70,彰化分局,
5,彰化縣,彰化市,路口多功能執法,闖紅燈、不停讓行人,光復路與和平路口,24.080356,120.540402,南北雙向,50,彰化分局,
6,彰化縣,彰化市,路口多功能執法,超速、闖紅燈,中山路3段與彰南路1段口,24.088908,120.565614,北向南,50,彰化分局,
7,彰化縣,彰化市,路口多功能執法,超速、闖紅燈,線東路1段與環河街口,24.068613,120.517885,南向北,60,彰化分局,
8,彰化縣,鹿港鎮,路口多功能執法,超速、闖紅燈,彰濱五路2段與臨海路3段,24.075988,120.418933,東向西,70,鹿港分局,
9,彰化縣,鹿港鎮,路口多功能執法,超速、闖紅燈,鹿東路2段與石碑巷口,24.055868,120.468923,西向東,50,鹿港分局,
10,彰化縣,和美鎮,路口多功能執法,超速、闖紅燈,台61乙線與彰新路6段路口(省道),24.149264,120.509767,東西雙向,60,和美分局,
11,彰化縣,和美鎮,路口多功能執法,跨越雙黃線,濱海路與工一路口(縣道),24.158826,120.517164,南北雙向,50,和美分局,
12,彰化縣,和美鎮,路口多功能執法,超速、闖紅燈、不停讓行人,彰新路5段與嘉卿路口,24.136037,120.50987,西向東,60,和美分局,
13,彰化縣,和美鎮,路口多功能執法,超速,線東路2段485號,24.086985,120.519111,南北雙向,60,和美分局,
14,彰化縣,和美鎮,路口多功能執法,超速、闖紅燈、不停讓行人,道周路與鹿和路6段路口,24.108746,120.494467,東西雙向,60,和美分局,
15,彰化縣,伸港鄉,路口多功能執法,超速、闖紅燈,中興路3段與興工路口,24.178015,120.499856,南北雙向,60,和美分局,
16,彰化縣,線西鄉,路口多功能執法,超速、闖紅燈,中正路與中央路2段口,24.134869,120.464828,南向北,70,和美分局,
17,彰化縣,福興鄉,路口多功能執法,超速、闖紅燈,臨海路(台17線)與福正路口(省道),24.047768,120.420177,南北雙向,70,鹿港分局,
18,彰化縣,福興鄉,路口多功能執法,超速、闖紅燈,沿海路與麥厝街口,24.019599,120.40004,南向北,70,鹿港分局,
19,彰化縣,秀水鄉,路口多功能執法,超速、闖紅燈,彰鹿路與民意街口(縣道),24.049766,120.494255,東西雙向,60,鹿港分局,
20,彰化縣,秀水鄉,路口多功能執法,超速、闖紅燈,環河南路2段與雅興街路口,24.077213,120.497158,東西雙向,50,鹿港分局,
21,彰化縣,秀水鄉,路口多功能執法,闖紅燈、不停讓行人,彰水路1段(2段)與中山路口,24.034535,120.499974,南北雙向,60,鹿港分局,
22,彰化縣,花壇鄉,路口多功能執法,超速、闖紅燈,台74甲線與灣福路口(省道),24.031086,120.572841,南北雙向,70,彰化分局,慢車道速限40公里
23,彰化縣,員林市,路口多功能執法,超速、闖紅燈,萬年路3段與靜修路口(縣道),23.962562,120.573831,南向北,50,員林分局,
24,彰化縣,員林市,路口多功能執法,超速、闖紅燈,中山路1段與柳橋東路口(員林市/埔心鄉),23.9462,120.563275,北向南,60,員林分局,
25,彰化縣,員林市,路口多功能執法,超速、闖紅燈,員林市員林大道5段與中山路2段口,23.972255,120.571067,西向東,50,員林分局,
26,彰化縣,員林市,路口多功能執法,超速、闖紅燈、不停讓行人,員林市莒光路與至善街口,23.959564,120.566765,南北雙向,60,員林分局,
27,彰化縣,員林市,路口多功能執法,超速、闖紅燈,員林市員林大道5段與員埔路口,23.971637,120.565057,北向南,50,員林分局,
28,彰化縣,員林市,路口多功能執法,闖紅燈、不停讓行人,員林市中正路與南昌路口,23.9547,120.574303,南北雙向,50,員林分局,
29,彰化縣,田中鎮,路口多功能執法,超速、闖紅燈,東閔路2段與中南路3段路口,23.853165,120.597555,南北雙向,60,田中分局,
30,彰化縣,田中鎮,路口多功能執法,超速、闖紅燈,員集路1段與大安路1段路口,23.843128,120.59652,南北雙向,50,田中分局,
