地點,違規取締項目,經度,緯度,備註
新竹市北區經國路二段、中正路口,闖紅燈、違規轉彎、未停讓行人、砂石車禁行車種、違規停車,120.96447,24.811973,固定式
新竹市東區經國路一段、公道五路口,闖紅燈、違規轉彎,120.98523,24.815077,固定式
新竹市東區中華路、經國路(北端),闖紅燈、違規轉彎,120.993423,24.815729,固定式
新竹市北區西大路、北大路口(雙向),闖紅燈、違規轉彎、未停讓行人、違規停車,120.962406,24.806153,固定式
新竹市東區光復路二段、學府路口,闖紅燈、違規轉彎,120.986768,24.801134,固定式
新竹市東區慈雲路、公道五路口,闖紅燈、違規轉彎,121.013286,24.795645,固定式
新竹市東區慈雲路、埔頂二路口(雙向),超速、闖紅燈、違規轉彎、未依標誌標線行駛、未停讓行人、人行道違規(西側),121.012156,24.791551,固定式
新竹市東區中央路、民生路口,超速、闖紅燈、違規轉彎、未依標誌標線行駛、違規停車,120.977266,24.809816,固定式
新竹市東區中央路、民權路口,超速、闖紅燈、違規轉彎、未依標誌標線行駛、違規停車,120.974432,24.808844,固定式
新竹市東區火車站前,違規停車,120.971588,24.801601,固定式
新竹市北區都城隍廟周邊道路,違規停車,120.965637,24.804623,固定式
新竹市東區公道五路三段、溪埔路口,砂石車禁行車種偵測,120.984621,24.816643,固定式
新竹市北區西大路、林森路口,未停讓行人、闖紅燈、違規轉彎,120.966685,24.800558,固定式
新竹市東區公道五路三段、湳雅街口,闖紅燈、違規轉彎,120.978552,24.823846,固定式
新竹市東區寶山路、高翠路口,闖紅燈、違規轉彎,120.988334,24.786063,固定式
新竹市香山區台61線西濱快速公路、美山路口,闖紅燈、違規轉彎,120.914822,24.778894,固定式
新竹市香山區台61線西濱快速公路、海山港路口,闖紅燈、違規轉彎,120.908692,24.763174,固定式
新竹市香山區台61線西濱快速公路、高濱路口,闖紅燈、違規轉彎,120.898518,24.744459,固定式
新竹市北區中華路與林森路口(南端),闖紅燈、違規轉彎,120.960926,24.796886,固定式
新竹市香山區中華路四段、經國路三段(南端),闖紅燈、違規轉彎,120.952353,24.796474,固定式
新竹市北區中正路、竹光路口,未停讓行人、闖紅燈、違規轉彎,120.962033,24.815166,固定式
新竹市北區東大路二段、武陵路口,未停讓行人、闖紅燈、違規轉彎,120.964177,24.817046,固定式
新竹市北區東大路一段、北大路口,未停讓行人、闖紅燈、違規轉彎,120.970059,24.811005,固定式
新竹市東區光復路544巷與光復路口,逆向行駛,121.011466,24.788756,標靶式
新竹市東區公道五路交流道口,未保持路口淨空,121.008019,24.798022,標靶式
新竹市北區大雅路88號,未停讓行人,120.969811,24.819554,標靶式
新竹市東區東門圓環,未停讓行人,120.971017,24.804173,標靶式
新竹市東區西大路、文昌街口,未停讓行人,120.965733,24.801779,標靶式
新竹市東區中華路二段、林森路口,未停讓行人,120.970942,24.801759,標靶式
新竹市東區關新路、關新北路,違規行駛人行道,121.01903,24.786575,固定式
新竹市東區公道五路、建功一路104巷口,違規行駛人行道,121.000983,24.801221,固定式
新竹市東區金山街、介壽路口,闖紅燈、違規轉彎、未停讓行人,121.01916,24.778811,固定式
新竹市東區經國路、鐵道路口,闖紅燈、違規轉彎、未停讓行人,120.980948,24.814802,固定式
新竹市北區西大路、民富街口,闖紅燈、違規轉彎、違規停車,120.961088,24.807822,固定式
