﻿設備編號,行政區,設置地點,取締項目,座標緯度,座標經度,拍攝方向,速限,管轄單位,備註
"1","中區","中區建國路與民權路口","闖紅燈、不依標誌、標線、號誌指示行駛","24.13584","120.68225","西往東","50","第一分局",""
"2","中區","中區三民路三段與公園路口","闖紅燈、不依標誌、標線、號誌指示行駛、超速","24.14563","120.68389","北往南","50","第一分局",""
"3","西區","西區臺灣大道二段與忠明路口","闖紅燈、不依標誌、標線、號誌指示行駛","24.15765","120.65965","東往西","60","第一分局",""
"4","西區","西區臺灣大道二段與忠明南路口","闖紅燈、不依標誌、標線、號誌指示行駛","24.15668","120.65936","西往東","60","第一分局",""
"5","西區","西區忠明南路與民生路口","闖紅燈、不依標誌、標線、號誌指示行駛","24.14432","120.65726","北往南","50","第一分局",""
"6","西區","西區忠明南路與忠明南路326巷口","不依標誌、標線、號誌指示行駛、超速","24.13749","120.65723","雙向","50","第一分局",""
"7","西區","西區五權路與英才路口","闖紅燈、不依標誌、標線、號誌指示行駛","24.14113","120.66665","東往西","50","第一分局",""
"8","西區","西區建國北路二段101號前","不依標誌、標線、號誌指示行駛、超速","24.12842","120.66494","雙向","50","第一分局",""
"9","西區","西區建國北路三段與公舘路口","闖紅燈、不依標誌、標線、號誌指示行駛、超速","24.13194","120.67293","雙向","50","第一分局",""
"10","西區","西區福人街與忠明南路","闖紅燈、不依標誌、標線、號誌指示行駛、超速","24.14296","120.65723","南往北","50","第一分局",""
"11","西區","西區五權西一街與五權西路一段","闖紅燈、不依標誌、標線、號誌指示行駛、超速","24.14012","120.66409","西往東","50","第一分局",""
"12","北區","北區東光路270號前","不依標誌、標線、號誌指示行駛、超速","24.15235","120.69857","北往南","50","第二分局",""
"13","北區","北區崇德路一段與太原路二段路口","闖紅燈、不依標誌、標線、號誌指示行駛","24.16522","120.68503","北往南","50","第二分局",""
"14","北區","北區進化北路與學士路口","闖紅燈、不依標誌、標線、號誌指示行駛","24.16312","120.68095","東往西","50","第二分局",""
"15","北區","北區三民路三段與崇德路一段路口(往五權路方向)","闖紅燈、不依標誌、標線、號誌指示行駛","24.15467","120.68617","北往南","50","第二分局",""
"16","北區","北區三民路三段與育才街口(往公園路方向)","闖紅燈、不依標誌、標線、號誌指示行駛","24.14987","120.68414","南往北","50","第二分局",""
"17","北區","北區進化路與興進路口","闖紅燈、不依標誌、標線、號誌指示行駛、超速","24.15529","120.69432","北往南","50","第二分局",""
"18","北區","北區中清路一段447號與漢口路三、四段","闖紅燈、不依標誌、標線、號誌指示行駛、超速","24.16692","120.67357","南往北","50","第二分局",""
"19","北區","北區忠明路與西屯路一段路口","闖紅燈、不依標誌、標線、號誌指示行駛、超速","24.15549","120.66273","東往西","50","第二分局",""
"20","北區","北區崇德路一段與進化北路口","闖紅燈、不依標誌、標線、號誌指示行駛、超速","24.16392","120.68831","北往南","50","第二分局",""
"21","東區","東區建成路521號前","不依標誌、標線、號誌指示行駛、超速","24.13439","120.69567","雙向","50","第三分局",""
"22","東區","東區旱溪西路二段17巷口","不依標誌、標線、號誌指示行駛、超速","24.14956","120.69953","南往北","50","第三分局",""
"23","東區","東區環中東路四段與樂業路口","闖紅燈、不依標誌、標線、號誌指示行駛","24.13531","120.70928","北往南","50","第三分局",""
"24","東區","東區旱溪西路一段300號前(成功國小往南)","不依標誌、標線、號誌指示行駛、超速","24.13715","120.69987","北往南","50","第三分局",""
"25","東區","東區旱溪東路一段與十甲路口","闖紅燈、不依標誌、標線、號誌指示行駛、超速","24.1446","120.70103","北往南","50","第三分局",""
"26","東區","東區環中東路四段近東義街口","不依標誌、標線、號誌指示行駛、超速","24.13171","120.70705","南往北","50","第三分局",""
"27","南區","南區南平路97號前","不依標誌、標線、號誌指示行駛、超速","24.12218","120.66399","雙向","50","第三分局",""
"28","南區","南區忠明南路1265號前","不依標誌、標線、號誌指示行駛、超速","24.11916","120.68229","雙向","50","第三分局",""
"29","南區","南區文心南路930號前","不依標誌、標線、號誌指示行駛、超速","24.10997","120.66072","北往南","60","第三分局",""
"30","南區","南區國光路與南門路口","闖紅燈、不依標誌、標線、號誌指示行駛","24.12233","120.6793","北往南","50","第三分局",""
"31","南區","南區復興路一段129號前","不依標誌、標線、號誌指示行駛、超速","24.11106","120.64844","東往西","60","第三分局",""
"32","南區","南區復興路一段與工學路口","闖紅燈、不依標誌、標線、號誌指示行駛","24.11753","120.65827","西往東","50","第三分局",""
"33","南區","南區五權南路與忠明南路口","闖紅燈、不依標誌、標線、號誌指示行駛、超速","24.11753","120.65827","西往東","50","第三分局",""
"34","南屯區","南屯區永春南路148號前","不依標誌、標線、號誌指示行駛、超速","24.13853","120.60925","西往東","50","第四分局",""
"35","南屯區","南屯區中彰快速道路4.8K","不依標誌、標線、號誌指示行駛、超速","24.13168","120.62032","雙向","80","第四分局",""
"36","南屯區","南屯區環中路三段與五權西路二段口","闖紅燈、不依標誌、標線、號誌指示行駛","24.14964","120.62334","北往南","40","第四分局",""
"37","南屯區","南屯區環中路四段與向上路三段路口","闖紅燈、不依標誌、標線、號誌指示行駛","24.1452","120.62313","南往北","40","第四分局",""
"38","南屯區","南屯區公益路二段與文心路一段路口","闖紅燈、不依標誌、標線、號誌指示行駛","24.15092","120.64719","東往西","50","第四分局",""
"39","南屯區","南屯區環中路四段643號前","不依標誌、標線、號誌指示行駛、超速","24.13112","120.62593","西往東","60","第四分局",""
"40","南屯區","南屯區向上路五段(往市區距離精科路360公尺)","不依標誌、標線、號誌指示行駛、超速","24.15169","120.60472","西往東","60","第四分局",""
"41","南屯區","南屯區環中路四段56-8號","不依標誌、標線、號誌指示行駛、超速","24.14703","120.62301","雙向","60","第四分局",""
"42","南屯區","南屯區五權西路二段1001號前","不依標誌、標線、號誌指示行駛、超速","24.14684","120.63033","雙向","50","第四分局",""
"43","南屯區","南屯區五權西路三段225之7號前","不依標誌、標線、號誌指示行駛、超速","24.15464","120.61118","雙向","50","第四分局",""
"44","南屯區","南屯區永春東路1392號對面","不依標誌、標線、號誌指示行駛、超速","24.13846","120.63135","西往東","50","第四分局",""
"45","南屯區","南屯區向上路三段418號前","不依標誌、標線、號誌指示行駛、超速","24.14515","120.62709","西往東","50","第四分局",""
"46","南屯區","南屯區向上路五段往龍井區方向(距五權西路1.2K處)","不依標誌、標線、號誌指示行駛、超速","24.16182","120.58675","東往西","60","第四分局",""
"47","南屯區","南屯區文心南路近三民西路","不依標誌、標線、號誌指示行駛、超速","24.12549","120.64674","北往南","50","第四分局",""
"48","南屯區","南屯區永春東路與益豐路口","闖紅燈、不依標誌、標線、號誌指示行駛、超速","24.14005","120.62901","東往西","50","第四分局",""
"49","南屯區","南屯區五權西路二段與文心路口","闖紅燈、不依標誌、標線、號誌指示行駛、超速","24.14015","120.64754","東往西","50","第四分局",""
"50","南屯區","南屯區惠中路三段與向上路二段路口","闖紅燈、不依標誌、標線、號誌指示行駛、超速","24.14771","120.63971","北往南","50","第四分局",""
"51","南屯區","南屯區五權西路二段與向上路三段路口","闖紅燈、不依標誌、標線、號誌指示行駛、超速","24.13952","120.64006","東往西","50","第四分局",""
"52","北屯區","北屯區崇德路二段與文心路四段路口","闖紅燈、不依標誌、標線、號誌指示行駛","24.17208","120.6855","北往南","50","第五分局",""
"53","北屯區","北屯區四平路仁愛公園旁","不依標誌、標線、號誌指示行駛、超速","24.18174","120.67385","西往東","50","第五分局",""
"54","北屯區","北屯區崇德路三段938號前","不依標誌、標線、號誌指示行駛、超速","24.20289","120.6866","雙向","60","第五分局",""
"55","北屯區","北屯區廍子路456號前","不依標誌、標線、號誌指示行駛、超速","24.1679","120.73328","南往北","50","第五分局",""
"56","北屯區","北屯區廍子路與廍子路700巷口","不依標誌、標線、號誌指示行駛、超速","24.17631","120.73813","東往西","50","第五分局",""
"57","北屯區","北屯區旱溪東路三段51號前","不依標誌、標線、號誌指示行駛、超速","24.17668","120.71069","北往南","50","第五分局",""
"58","北屯區","北屯區太原路三段1027-1號前","不依標誌、標線、號誌指示行駛、超速","24.16346","120.71785","西往東","60","第五分局",""
"59","北屯區","北屯區軍功路二段571號前","不依標誌、標線、號誌指示行駛、超速","24.18864","120.71821","北往南","50","第五分局",""
"60","北屯區","北屯區松竹路三段與后庄路口","闖紅燈、不依標誌、標線、號誌指示行駛","24.19306","120.67129","東往西","50","第五分局",""
"61","北屯區","北屯區松竹路一段360號前(往環中東路一段方向)","不依標誌、標線、號誌指示行駛、超速","24.1811","120.7246","東往西","50","第五分局",""
