編號,縣市,縣市代碼,行政區,科技執法種類,取締項目,設置地點（路口或路段）,座標緯度,座標經度,啟用時間,啟用民國日期,啟用日期,備註
1,臺北市,63000,大同區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛,鄭州路與西寧北路口,25.05049695,121.5081673,111年1月3日,111-01-03,2022-01-03,
2,臺北市,63000,大同區、中正區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛、違規停車,市民大道與承德路口,25.04876716,121.5164188,111年12月1日,111-12-01,2022-12-01,
3,臺北市,63000,大同區,路口多功能執法,闖紅燈、不依規定轉彎、不依標誌標線號誌指示行駛,民權西路與承德路口,25.06289638,121.518278,111年12月1日,111-12-01,2022-12-01,
4,臺北市,63000,大同區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛、汽車行駛機車道(上匝),民權西路與延平北路口,25.06296449,121.5112005,111年12月1日,111-12-01,2022-12-01,
5,臺北市,63000,大同區,路口多功能執法,闖紅燈、不依規定轉彎,民權西路與蘭州街口,25.06299261,121.5147537,111年12月1日,111-12-01,2022-12-01,
6,臺北市,63000,中山區,路口多功能執法,闖紅燈、不依規定轉彎、不依標誌標線號誌指示行駛、違規停車,大直街與北安路口,25.07988903,121.5471061,111年12月1日,111-12-01,2022-12-01,
7,臺北市,63000,中山區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛、違規停車,民權東路與建國北路口,25.06240029,121.5370316,111年12月1日,111-12-01,2022-12-01,
8,臺北市,63000,中山區、中正區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛,市民大道與中山北路口,25.04806445,121.5207243,111年12月1日,111-12-01,2022-12-01,
9,臺北市,63000,中山區、大安區,路口多功能執法,闖紅燈、不依規定轉彎、不依標誌標線號誌指示行駛,市民大道與建國南路口,25.0447569,121.5366431,111年12月1日,111-12-01,2022-12-01,
10,臺北市,63000,中山區、中正區,路口多功能執法,闖紅燈、不依規定轉彎、不依標誌標線號誌指示行駛,市民大道與林森北路口,25.04780297,121.5242168,111年12月1日,111-12-01,2022-12-01,
11,臺北市,63000,大安區、信義區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛,和平東路與基隆路口,25.02433297,121.5525305,111年12月1日,111-12-01,2022-12-01,
12,臺北市,63000,大安區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛,信義路與建國南路口,25.03350338,121.5377786,111年12月1日,111-12-01,2022-12-01,
13,臺北市,63000,大安區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛、機車行駛人行道,辛亥路與基隆路口,25.01915922,121.5466458,111年12月1日,111-12-01,2022-12-01,
14,臺北市,63000,松山區、大安區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎,市民大道與敦化南路口,25.04487049,121.5488992,111年12月1日,111-12-01,2022-12-01,
15,臺北市,63000,信義區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛,忠孝東路與基隆路口,25.04116457,121.5645839,111年12月1日,111-12-01,2022-12-01,
16,臺北市,63000,信義區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛,信義路與基隆路口,25.03308411,121.5596058,111年12月1日,111-12-01,2022-12-01,
17,臺北市,63000,士林區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎,中正路與延平北路口,25.08674429,121.5092881,111年12月1日,111-12-01,2022-12-01,
18,臺北市,63000,北投區,路口多功能執法,闖紅燈、不依規定轉彎、不依標誌標線號誌指示行駛,大度路與立德路口,25.12289255,121.4714403,111年12月1日,111-12-01,2022-12-01,
19,臺北市,63000,北投區,路口多功能執法,闖紅燈、不依規定轉彎、不依標誌標線號誌指示行駛,承德路與福國路口,25.101563,121.5123304,111年12月1日,111-12-01,2022-12-01,
20,臺北市,63000,萬華區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛,和平西路與西園路口,25.03533184,121.4992884,111年12月1日,111-12-01,2022-12-01,
21,臺北市,63000,文山區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛,辛亥路與木柵路口,24.98779043,121.5523193,111年12月1日,111-12-01,2022-12-01,
22,臺北市,63000,內湖區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛、路口未淨空,港墘路與堤頂大道口,25.07458929,121.5722768,113年1月1日,113-01-01,2024-01-01,
23,臺北市,63000,中山區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛、違規停車,南京東路與建國北路口,25.05198747,121.5367794,113年1月1日,113-01-01,2024-01-01,
24,臺北市,63000,內湖區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛、路口未淨空,民權東路與舊宗路、行忠路口,25.06579822,121.5750701,113年1月1日,113-01-01,2024-01-01,
25,臺北市,63000,大安區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛、違規停車、行經設有停車再開標誌、標字之交岔路口不依規定停讓,忠孝東路與敦化南路口(含敦化南路1段270巷與仁愛路4段71巷口),25.04153123,121.5488613,113年1月1日,113-01-01,2024-01-01,
26,臺北市,63000,大安區,路口多功能執法,闖紅燈、不停讓行人、違規停車、不依規定轉彎,仁愛路、敦化南路口,25.0379011,121.5487998,113年10月1日,113-10-01,2024-10-01,
27,臺北市,63000,大安區、中正區、文山區,路口多功能執法,闖紅燈、不停讓行人、不依標誌標線號誌指示行駛,基隆路與羅斯福路口,25.01119266,121.5371209,113年10月1日,113-10-01,2024-10-01,
28,臺北市,63000,大安區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛,忠孝東路與建國南路口,25.04172211,121.5370816,113年10月1日,113-10-01,2024-10-01,
29,臺北市,63000,大安區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛,仁愛路與建國南路口　,25.03808481,121.5378794,113年10月1日,113-10-01,2024-10-01,
30,臺北市,63000,大安區,路口多功能執法,闖紅燈、不依標誌標線號誌指示行駛,辛亥路與建國南路口,25.02269606,121.5376238,113年10月1日,113-10-01,2024-10-01,
31,臺北市,63000,士林區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛,中山北路與劍潭路口,25.08416845,121.525369,113年10月1日,113-10-01,2024-10-01,
32,臺北市,63000,大安區,路口多功能執法,闖紅燈、不停讓行人、未保持路口淨空、不依規定轉彎、不依標誌標線號誌指示行駛,和平東路與敦化南路口,25.02455679,121.5487323,113年10月1日,113-10-01,2024-10-01,
