Seq,編號,轄區分局,行政區,設置位置,"拍攝
行向",速限
1,1,新營分局,新營區,臺1線290.3公里與東山路口,南往北向,50
2,2,新營分局,新營區,長榮路、三興街口172線20.05公里,西往東向,50
3,3,新營分局,新營區,南314線1公里,雙向,50
4,4,新營分局,新營區,長榮路一段與東泰路口,東往西向,60
5,5,新營分局,鹽水區,飯店里臺19線110.3公里,雙向,70
6,6,新營分局,鹽水區,歡雅里臺19線105.6公里,南往北向,50
7,7,新營分局,鹽水區,三和里田寮往臺19線路口,雙向,50
8,8,新營分局,柳營區,臺1線294.1公里,雙向,70
9,9,新營分局,柳營區,長榮路四段近2.8公里,雙向,60
10,10,白河分局,後壁區,臺1線281.9公里處後壁陸橋北端,雙向,70
11,11,白河分局,後壁區,臺1線279.9公里與南91線路口,南往北向,70
12,12,白河分局,東山區,165線18.82公里,雙向,50
13,13,白河分局,白河區,市道172線與木屐寮路口,雙向,60
14,14,白河分局,後壁區,市道172線與南76線路口,雙向,50
15,15,麻豆分局,官田區,臺1線302公里,南往北向,50
16,16,麻豆分局,麻豆區,臺19甲17.2公里與新生南路路口,南往北向,50
17,17,麻豆分局,麻豆區,176線16.9公里麻豆口路口,東往西向,60
18,18,麻豆分局,麻豆區,臺19甲線與中正、文昌路口,雙向,60
19,19,麻豆分局,麻豆區,新生南路與中山路口,雙向,50
20,20,麻豆分局,麻豆區,市道173線紀安國小前,雙向,50
21,21,麻豆分局,下營區,臺84線快速公路16.3公里處,雙向,100
22,22,麻豆分局,六甲區,臺1線297.3公里與174線路口,北往南向,70
23,23,麻豆分局,六甲區,臺1線298.8公里與174線路口,南往北向,70
24,24,佳里分局,七股區,臺17線153.95公里處,雙向,60
25,25,佳里分局,七股區,臺17線152.6公里大潭寮路口,南往北向,70
26,26,佳里分局,七股區,臺17線162.05公里與南38線路口,北往南向,70
27,27,佳里分局,七股區,臺17線155.6公里篤加國小前路口,北往南向,70
28,28,佳里分局,七股區,臺61線快速公路302.3公里處,南往北向,100
29,29,佳里分局,西港區,臺19線125.8公里與南45線往後營路口,南往北向,70
30,30,佳里分局,佳里區,佳青路一段（近北頭洋公車站附近）,雙向,50
31,31,學甲分局,學甲區,臺19線117.5公里大安里大灣路口,北往南向,50
32,32,學甲分局,學甲區,臺84線快速公路10.2公里處,雙向,100
33,33,學甲分局,北門區,臺61線281.9公里,北往南向,90
34,34,善化分局,善化區,臺1線310.6公里處,雙向,70
35,35,善化分局,善化區,臺19甲線21.3公里處,雙向,70
36,36,善化分局,安定區,臺19線132.7公里中崙段,南往北向,50
37,37,善化分局,安定區,178線7.9公里與134線路口,西往東向,50
38,38,善化分局,安定區,嘉榮路512號前,雙向,50
39,39,善化分局,大內區,臺84線37.2公里處走馬瀨隧道口,雙向,90
40,40,善化分局,新市區,臺1線317.7公里,雙向,70
41,41,善化分局,新市區,臺19甲線28公里處,雙向,70
42,42,善化分局,新市區,社內里大洲五號橋T字路口,雙向,25
43,43,新化分局,左鎮區,臺20線22.3公里,雙向,60
44,44,新化分局,左鎮區,臺20乙線0.7公里處(近睦光橋),雙向,50
45,45,新化分局,新化區,臺19甲線33.5公里,雙向,70
46,46,新化分局,新化區,臺20線15.9公里國8道路口,北往南向,60
47,47,新化分局,新化區,臺19甲線與信義路路口,雙向,50
48,48,歸仁分局,仁德區,二仁路台1線341.85公里,雙向,70
49,49,歸仁分局,仁德區,臺1線342.7公里台86線匝道路口,北往南向,70
50,50,歸仁分局,仁德區,臺1線344.15公里與二行一路路口,南往北向,50
51,51,歸仁分局,仁德區,快速道路86線東往西向3.9K處,東往西向,90
