設備編號,型式,縣市,行政區,科技執法種類,"取締項目(以""、""分隔)",設置地點(路口或路段),座標緯度,座標經度,拍攝方向,速限,管轄單位,備註
1,科技執法,苗栗縣,苗栗市,路口多功能執法,違規停車,苗栗市中正路三角公園周邊道路,24.5521006,120.8163413,南向北,,苗栗分局,
2,科技執法,苗栗縣,竹南鎮,路口多功能執法,違規停車,竹南鎮竹南火車站東、西站圓環周邊道路,24.6865031,120.8800459,南向北,,竹南分局,
3,科技執法,苗栗縣,頭份市,路口多功能執法,測速、闖紅燈、違規停車、車輛不暫停讓行人,頭份市中華路與自強路口,24.690309,120.912778,東南向西北,60,頭份分局,
4,科技執法,苗栗縣,頭份市,路口多功能執法,逆向行駛、車輛不暫停讓行人,頭份市中正路與信東路口,24.687447,120.910867,東南向西北,,頭份分局,
5,科技執法,苗栗縣,頭份市,路口多功能執法,測速、闖紅燈、未保持路口淨空、車輛不暫停讓行人,頭份市中央路與自強路口周邊道路,24.687191,120.906834,西北向東南,60,頭份分局,
6,科技執法,苗栗縣,頭份市,路口多功能執法,車輛不暫停讓行人、未依規定兩段式左轉、直行車占用左轉彎專用車道,頭份市中央路與中興路口,24.691353,120.902709,東南向西北,,頭份分局,
7,科技執法,苗栗縣,頭份市,路口多功能執法,測速、闖紅燈、未依規定兩段式左轉、直行車占用左轉彎專用車道,頭份市中央路與永貞路口,24.694074,120.885424,東向西,60,頭份分局,
8,科技執法,苗栗縣,竹南鎮,路口多功能執法,闖紅燈、未依標誌標線行駛、車輛不暫停讓行人,竹南鎮環市路三段與光復路口,24.693259,120.879565,西北向東南,,竹南分局,
9,科技執法,苗栗縣,公館鄉,路口多功能執法,測速、闖紅燈、占用大貨車迴轉道、直行車占用左轉彎專用車道,公館鄉台6線與苗26-2線口,24.529024,120.818773,東向西,60,苗栗分局,
10,科技執法,苗栗縣,苗栗市,路口多功能執法,跨越雙白線行駛、未依標誌標線行駛、未保持路口淨空、車輛不暫停讓行人,苗栗市中正路與為公路口周邊道路,24.569981,120.824523,西北向東南,,苗栗分局,
11,科技執法,苗栗縣,苗栗市,路口多功能執法,闖紅燈、違規停車、車輛不暫停讓行人,苗栗市恭敬路與信義街口,24.550807,120.815133,東向西,,苗栗分局,
12,科技執法,苗栗縣,苑裡鎮,路口多功能執法,闖紅燈、未依規定兩段式左轉、車輛不暫停讓行人,苑裡鎮中山路與為公路口,24.443308,120.651744,東北向西南,,通霄分局,
13,科技執法,苗栗縣,苗栗市,路口多功能執法,車輛不暫停讓行人,苗栗市中山路與為公路口,24.570023,120.823763,東北向西南,,苗栗分局,
14,科技執法,苗栗縣,苗栗市,路口多功能執法,闖紅燈、車輛不暫停讓行人,苗栗市英才路與正發路口,24.569449,120.820949,北向南,,苗栗分局,
15,科技執法,苗栗縣,苗栗市,路口多功能執法,闖紅燈、未依標誌標線號誌行駛、車輛不暫停讓行人,苗栗市國華路與民族路口,24.564465,120.813826,北向南,,苗栗分局,
16,科技執法,苗栗縣,竹南鎮,路口多功能執法,闖紅燈、車輛不暫停讓行人,竹南鎮博愛街與大營路口,24.687031,120.872810,東南向西北,,竹南分局,
17,科技執法,苗栗縣,苑裡鎮,路口多功能執法,闖紅燈、車輛不暫停讓行人,苑裡鎮世界路與新興路口,24.438851,120.657357,東南向西北,,通霄分局,
18,科技執法,苗栗縣,頭份市,路口多功能執法,闖紅燈、轉彎或變換車道時不依規定、車輛不暫停讓行人,頭份市中興路與建國路路口,24.6961546,120.9091747,南向北、北向南,,頭份分局,
19,科技執法,苗栗縣,竹南鎮,路口多功能執法,闖紅燈,竹南鎮博愛街與龍山路一段路口,24.6891572,120.86564,東向西,,竹南分局,
