項次,道路編號,道路方向,里程數_公里,座標,說明
1,國道5號,南向,16.9,國道5號南向16.9,應用系統
2,國道5號,南向,18.3,國道5號南向18.3,應用系統
3,國道5號,南向,19.7,國道5號南向19.7,應用系統
4,國道5號,南向,21.1,國道5號南向21.1,應用系統
5,國道5號,南向,22.5,國道5號南向22.5,應用系統
6,國道5號,南向,23.9,國道5號南向23.9,應用系統
7,國道5號,南向,25.3,國道5號南向25.3,應用系統
8,國道5號,南向,26.7,國道5號南向26.7,應用系統
9,國道5號,北向,16.9,國道5號北向16.9,應用系統
10,國道5號,北向,18.3,國道5號北向18.3,應用系統
11,國道5號,北向,19.7,國道5號北向19.7,應用系統
12,國道5號,北向,21.1,國道5號北向21.1,應用系統
13,國道5號,北向,22.5,國道5號北向22.5,應用系統
14,國道5號,北向,23.9,國道5號北向23.9,應用系統
15,國道5號,北向,25.3,國道5號北向25.3,應用系統
16,國道5號,北向,26.7,國道5號北向26.7,應用系統
