Seq,編號,設置位置,取締項目,測照行向,座標緯度,座標經度,Column1
1,1,左營區大中二路/華夏路,路口各項違規(闖紅燈、騎乘人行道、逆向、違規迴轉等),西向東,22.683281,120.307615,
2,2,左營區博愛二路/新庄仔路,路口各項違規(闖紅燈、占用左轉專用車道、違規迴轉等),南向北,22.669986,120.303403,
3,3,鳳山區過埤路/鳳頂路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),東向西,22.5903729,120.3593547,
4,4,前鎮區中山四路/中安、中平路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),南向北,22.580268,120.329487,
5,5,前鎮區中山四路/中安、中平路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),北向南,22.580608,120.328819,
6,6,大寮區市道188號/鳳林二路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),北向南,22.586404,120.404609,
7,7,前鎮區新生路/金福路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),南向北,22.567458,120.323745,
8,8,小港區沿海二路/永光街,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),南向北,22.54958,120.366042,
9,9,小港區沿海二路/世全路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),北向南,22.545891,120.368636,
10,10,前鎮區中華五路/復興二路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),南向北,22.606278,120.304847,
11,11,楠梓區鳳楠路/興西路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),西向東,22.72169,120.331767,
12,12,楠梓區鳳楠路/興西路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),東向西,22.720918,120.33255,
13,13,苓雅區中正一路/大順三路/河南路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),西向東,22.62992523,120.322668,
14,14,苓雅區中正一路/高速公路西側,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),北向南,22.628137,120.335862,
15,15,苓雅區凱旋二、三路/三多二路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),南向北,22.620333,120.325365,
16,16,左營區翠華路/勝利路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),北向南,22.67598457,120.294816,
17,17,岡山區嘉新西路/岡山路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),東向西,22.801878,120.292603,
18,18,小港區中山四路/平和東路,路口各項違規(闖紅燈、超速、不依標誌標線號誌行駛等),北向南,22.570253,120.33743,有取締超速功能
19,19,鳳山區鳳頂路/過埤路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),西向東,22.5902688,120.3583329,
20,20,鼓山區馬卡道路/青海路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),北向南,22.651901,120.281844,
21,21,前鎮區中山四路/鎮海路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),北向南,22.593062,120.318328,
22,22,三民區民族一路/建工路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),南向北,22.647351,120.31487,
23,23,前鎮區中山三路/光華三路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),南向北,22.601450,120.311799,
24,24,三民區博愛一路/九如二路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),北向南,22.6416392,120.3026007,
25,25,三民區中山一路/建國二路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),南向北,22.6372888,120.302544,
26,26,鼓山區北斗街/輕軌路口,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),西向東,22.632724,120.282461,變更路名
27,27,鼓山區北斗街/輕軌路口,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),東向西,22.632336,120.2831,變更路名
28,28,鼓山區五福四路/輕軌路口,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),西向東,22.626317,120.2781,變更路名
29,29,鼓山區華安街/馬卡道路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),南向西,22.647220,120.281511,
30,30,鼓山區華安街/馬卡道路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),北向西,22.647827,120.281554,
31,31,鼓山區華安街/馬卡道路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),東向西,22.647496,120.282049,
32,32,鼓山區大公路/鼓山一路,路口各項違規(不依標誌標線號誌行駛等),南向東,22.629167,120.280139,
33,33,苓雅區凱旋二路/四維二路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),南向東,22.623667,120.324111,
34,34,苓雅區凱旋二路/四維二路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),西向東,22.623861,120.323806,
35,35,苓雅區凱旋二路/四維二路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),北向東,22.624111,120.323833,
36,36,苓雅區凱旋二路/四維二路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),北向西,22.624167,120.324167,
37,37,苓雅區凱旋三路/武昌路,路口各項違規(不依標誌標線號誌行駛等),南向東,22.616886,120.326704,
38,38,苓雅區凱旋三路/武昌路,路口各項違規(不依標誌標線號誌行駛等),西向東,22.617119,120.326263,
39,39,苓雅區凱旋三路/武昌路,路口各項違規(不依標誌標線號誌行駛等),北向東,22.617591,120.326438,
40,40,苓雅區凱旋三路/武昌路,路口各項違規(不依標誌標線號誌行駛等),東向西,22.6174315,120.3270631,
41,41,前鎮區凱旋四路/中山三路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),東向南,22.596389,120.316111,
42,42,前鎮區凱旋四路/中山三路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),西向南,22.595556,120.315556,
43,43,苓雅區凱旋三路/二聖一路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),南向東,22.611389,120.326667,
44,44,苓雅區凱旋三路/二聖一路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),北向東,22.612111,120.3265375,
45,45,苓雅區凱旋三路/二聖一路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),東向西,22.611944,120.327222,
46,46,前鎮區凱旋四路/鎮興路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),西向南,22.593807,120.3105,
47,47,前鎮區凱旋四路/前鎮街,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),西向南,22.592826,120.3074,
48,48,鳳山區鳳松路/經武路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),北向南,22.6422046,120.3638002,
49,49,三民區大中一路/鼎中路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),東向西,22.6766113,120.3236706,
50,50,鳳山區五甲一路/凱旋路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),南向北,22.6119053,120.3502258,
51,51,前金區中山一路/民生一路、民生二路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),南向北,22.62667647,120.3015335,
52,52,苓雅區武營路/三多一路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),北向南,22.6244916,120.3357465,
53,53,楠梓區加昌路/海專路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),東向西,22.723064,120.317578,
54,54,楠梓區後昌路/左楠路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),東向西,22.708018,120.303021,
55,55,楠梓區楠陽路/鳳楠路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),西向東,22.723865,120.329811,
56,56,大寮區市道188號(內坑路)與高72線路口,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),西向東,22.589227,120.384388,
57,57,林園區沿海路四段/王公路/東林西路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),西向東,22.50333,120.3820631,
58,58,前鎮區中安路/明鳳五街路,路口各項違規(闖紅燈、禁止迴轉、不依標誌標線號誌行駛等),西向東,22.582961,120.334838,
59,59,左營區翠華路/大中二路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),北向南,22.686497,120.302663,
60,60,左營區翠華路/大中二路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),東向西,22.686165,120.303088,
61,61,仁武區高楠公路/八德二路,路口各項違規(不依標誌標線號誌行駛等),南向北,22.7009717,120.3235253,
62,62,前金區中華三路/五褔三路,路口各項違規(闖紅燈、車不停讓行人、不依標誌標線號誌行駛等),北向南,22.622952,120.298297,
63,63,前金區中華三路/五褔三路,路口各項違規(闖紅燈、車不停讓行人、不依標誌標線號誌行駛等),東向北,22.622865,120.298588,
64,64,前鎮區中山四路/五甲三路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),南向北,22.588267,120.322763,
65,65,左營區民族一路/大中二路,路口各項違規(闖紅燈、超速、不依標誌標線號誌行駛等),北向南,22.679394,120.319061,有取締超速功能
66,66,楠梓區高楠公路/水管路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),北向南,22.707125,120.324463,
67,67,苓雅區建國一路/高速公路東側便道,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),西向東,22.630357,120.336487,
68,68,仁武區澄觀路二段/水管路三段,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),北向南,22.704041,120.359794,
69,69,苓雅區中正一路/輔仁路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),西向東,22.628069,120.331792,
70,70,苓雅區中正一路/高速公路東側便道,路口各項違規(闖紅燈、汽車占用機慢車停等區、不依標誌標線號誌行駛等),西向東,22.626658,120.336323,
71,71,左營區華夏路/新莊一路,路口各項違規(闖紅燈、車不停讓行人、不依標誌標線號誌行駛等),南向北,22.672249,120.297891,
72,72,左營區博愛二路/裕誠路,路口各項違規(闖紅燈、車不停讓行人、汽車占用機慢車停等區、不依標誌標線號誌行駛等),北向南,22.66617,120.303184,
73,73,三民區九如一路/高速公路東側便道,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),南向北,22.637087,120.337643,
74,74,左營區翠華路/新庄仔路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),北向南,22.679186,120.297844,
75,75,三民區自由一路/同盟一路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),北向南,22.650524,120.308939,
76,76,楠梓區德民路/海專路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),西向東,22.726436,120.31014,
77,77,橋頭區成功北路/鐵道北路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),北向南,22.767154,120.305743,
78,78,小港區南星路/沿海三路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),西向東,22.51025,120.362139,
79,79,小港區南星路/丹山一路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),東向西,22.509512,120.359556,
80,80,小港區丹山一路/南星路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),西向東,22.509243,120.35928,
81,81,鳳山區過埤路/過勇路,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),西向東,22.589889,120.362444,
82,82,林園區河堤路三段/工業一路口,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),南向北,22.51266,120.412404,
83,83,林園區河堤路三段/工業一路口,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),北向南,22.513265,120.412251,
84,84,大寮區河堤路三段/華中南路口,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),南向北,22.549579,120.423285,
85,85,大寮區河堤路三段/華中南路口,路口各項違規(闖紅燈、不依標誌標線號誌行駛等),北向南,22.550123,120.423775,
86,86,大寮區河堤路三段/光華路口,路口各項違規(闖紅燈、逆向行駛、不依標誌標線號誌行駛等),北向南,22.5833767,120.4353012,
87,87,大寮區河堤路三段/光華路口,路口各項違規(超速),南向北,22.5824107,120.4349427,有取締超速功能
88,88,林園區沿海路四段/王公路、東林西路口,闖紅燈、違規右轉,東向西,22.5032747,120.3829518,
89,89,林園區王公路/沿海路四段口,限制車種,南向北,22.5039531,120.3828253,
90,90,林園區沿海路二段/文賢南路口,闖紅燈、違規右轉、跨越雙白線,東向西,22.5003054,120.393763,
91,91,林園區沿海路二段與鳳林路、中芸三路口,闖紅燈、違規右轉,西向東,22.500598,120.397479,
